Item Identifier,Item Weight,Fat Level,Item Visibility,Item Type,Item Price,Store Identifier,Store Established,Store Type,Item Sales
DRC36,13,reg,0.044976367,Soft Drinks,2.72,OUT035,2004,Supermarket Type1,141
DRC36,13,Regular,0.044984874,Soft Drinks,2.7,OUT046,1997,Supermarket Type1,223
DRC49,,LF,0.065119701,Soft Drinks,2.25,OUT027,1985,Supermarket Type3,475
DRC49,8.67,Low Fat,0.065424208,Soft Drinks,2.25,OUT035,2004,Supermarket Type1,290
DRC49,8.67,Low Fat,0.065436581,Soft Drinks,2.21,OUT046,1997,Supermarket Type1,238
DRD01,12.1,Regular,0.061521569,Soft Drinks,0.87,OUT017,2007,Supermarket Type1,173
DRD01,12.1,Regular,0.061424738,Soft Drinks,0.88,OUT018,2009,Supermarket Type2,126
DRD01,12.1,Regular,0.061163967,Soft Drinks,0.88,OUT035,2004,Supermarket Type1,100
DRD01,12.1,Regular,0.061299601,Soft Drinks,0.87,OUT045,2002,Supermarket Type1,67
DRD01,12.1,Regular,0.061270647,Soft Drinks,0.83,OUT049,1999,Supermarket Type1,47
DRD12,6.96,Low Fat,0.077129323,Soft Drinks,1.43,OUT013,1987,Supermarket Type1,210
DRD12,6.96,Low Fat,0.077630199,Soft Drinks,1.41,OUT017,2007,Supermarket Type1,177
DRD12,6.96,LF,0.077508015,Soft Drinks,1.43,OUT018,2009,Supermarket Type2,134
DRD12,,Low Fat,0,Soft Drinks,1.38,OUT027,1985,Supermarket Type3,265
DRD12,6.96,Low Fat,0.077178965,Soft Drinks,1.44,OUT035,2004,Supermarket Type1,265
DRD12,6.96,Low Fat,0.077350112,Soft Drinks,1.41,OUT045,2002,Supermarket Type1,78
DRD12,6.96,Low Fat,0.077193561,Soft Drinks,1.39,OUT046,1997,Supermarket Type1,155
DRD13,15,Low Fat,0.049038621,Soft Drinks,1.01,OUT013,1987,Supermarket Type1,190
DRD13,15,Low Fat,0.049357077,Soft Drinks,0.97,OUT017,2007,Supermarket Type1,109
DRD13,15,Low Fat,0.049279392,Soft Drinks,1.02,OUT018,2009,Supermarket Type2,67
DRD13,,Low Fat,0.048841794,Soft Drinks,1,OUT027,1985,Supermarket Type3,349
DRD13,15,Low Fat,0.049070183,Soft Drinks,0.96,OUT035,2004,Supermarket Type1,88
DRD13,15,Low Fat,0.049178998,Soft Drinks,1.02,OUT045,2002,Supermarket Type1,73
DRD13,15,Low Fat,0.049155769,Soft Drinks,1.01,OUT049,1999,Supermarket Type1,109
DRD15,10.6,Low Fat,0.095064731,Dairy,3.58,OUT010,1998,Grocery Store,70
DRD15,10.6,Low Fat,0.056748659,Dairy,3.6,OUT013,1987,Supermarket Type1,395
DRD15,,Low Fat,0.099442329,Dairy,3.6,OUT019,1985,Grocery Store,70
DRD15,10.6,Low Fat,0.056785183,Dairy,3.58,OUT035,2004,Supermarket Type1,210
DRD15,10.6,Low Fat,0.056911107,Dairy,3.61,OUT045,2002,Supermarket Type1,372
DRD15,10.6,Low Fat,0.056795923,Dairy,3.59,OUT046,1997,Supermarket Type1,349
DRD15,10.6,Low Fat,0.056884225,Dairy,3.58,OUT049,1999,Supermarket Type1,303
DRD24,13.85,Low Fat,0.051544658,Soft Drinks,2.2,OUT010,1998,Grocery Store,18
DRD24,13.85,Low Fat,0.030769458,Soft Drinks,2.19,OUT013,1987,Supermarket Type1,325
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,2.18,OUT017,2007,Supermarket Type1,187
DRD24,13.85,Low Fat,0.030920531,Soft Drinks,2.18,OUT018,2009,Supermarket Type2,187
DRD24,,Low Fat,0.030645958,Soft Drinks,2.19,OUT027,1985,Supermarket Type3,295
DRD24,13.85,Low Fat,0.030795085,Soft Drinks,2.21,OUT046,1997,Supermarket Type1,217
DRD24,13.85,Low Fat,0.030842963,Soft Drinks,2.21,OUT049,1999,Supermarket Type1,279
DRD25,6.135,Low Fat,0.132183029,Soft Drinks,1.78,OUT010,1998,Grocery Store,62
DRD25,6.135,LF,0.079293753,Soft Drinks,1.72,OUT018,2009,Supermarket Type2,275
DRD25,,Low Fat,0.138269873,Soft Drinks,1.72,OUT019,1985,Grocery Store,62
DRD25,,Low Fat,0.078589629,Soft Drinks,1.75,OUT027,1985,Supermarket Type3,330
DRD25,6.135,Low Fat,0.078957122,Soft Drinks,1.73,OUT035,2004,Supermarket Type1,206
DRD25,6.135,Low Fat,0.079132212,Soft Drinks,1.74,OUT045,2002,Supermarket Type1,358
DRD25,6.135,Low Fat,0,Soft Drinks,1.77,OUT046,1997,Supermarket Type1,238
DRD25,6.135,Low Fat,0.079094835,Soft Drinks,1.77,OUT049,1999,Supermarket Type1,124
DRD27,18.75,Low Fat,0.023820082,Dairy,1.51,OUT013,1987,Supermarket Type1,149
DRD27,18.75,Low Fat,0.023974769,Dairy,1.53,OUT017,2007,Supermarket Type1,70
DRD27,,Low Fat,0.041740624,Dairy,1.52,OUT019,1985,Grocery Store,20
DRD27,18.75,Low Fat,0,Dairy,1.51,OUT045,2002,Supermarket Type1,169
DRD27,18.75,Low Fat,0.023876985,Dairy,1.51,OUT049,1999,Supermarket Type1,229
DRD37,9.8,LF,0.02316823,Soft Drinks,0.74,OUT010,1998,Grocery Store,21
DRD37,9.8,Low Fat,0.013830218,Soft Drinks,0.7,OUT013,1987,Supermarket Type1,137
DRD37,9.8,Low Fat,0.013920032,Soft Drinks,0.7,OUT017,2007,Supermarket Type1,84
DRD37,9.8,Low Fat,0.013898123,Soft Drinks,0.72,OUT018,2009,Supermarket Type2,40
DRD37,9.8,Low Fat,0.013869809,Soft Drinks,0.74,OUT045,2002,Supermarket Type1,103
DRD37,9.8,Low Fat,0.013841737,Soft Drinks,0.7,OUT046,1997,Supermarket Type1,127
DRD37,9.8,Low Fat,0.013863257,Soft Drinks,0.7,OUT049,1999,Supermarket Type1,146
DRD49,9.895,Low Fat,0.168780385,Soft Drinks,3.65,OUT017,2007,Supermarket Type1,665
DRD49,9.895,Low Fat,0.167799329,Soft Drinks,3.69,OUT035,2004,Supermarket Type1,731
DRD49,9.895,Low Fat,0.16817143,Soft Drinks,3.67,OUT045,2002,Supermarket Type1,532
DRD49,9.895,LF,0.167831064,Soft Drinks,3.66,OUT046,1997,Supermarket Type1,101
DRD60,15.7,Low Fat,0.037201127,Soft Drinks,2.8,OUT013,1987,Supermarket Type1,282
DRD60,15.7,LF,0.037383778,Soft Drinks,2.77,OUT018,2009,Supermarket Type2,202
DRD60,,Low Fat,0.065188619,Soft Drinks,2.79,OUT019,1985,Grocery Store,22
DRD60,15.7,Low Fat,0.03722507,Soft Drinks,2.81,OUT035,2004,Supermarket Type1,221
DRD60,15.7,Low Fat,0.03723211,Soft Drinks,2.83,OUT046,1997,Supermarket Type1,624
DRD60,15.7,Low Fat,0.037289996,Soft Drinks,2.82,OUT049,1999,Supermarket Type1,383
DRE01,10.1,Low Fat,0.279783532,Soft Drinks,3.73,OUT010,1998,Grocery Store,75
DRE01,10.1,Low Fat,0.167155198,Soft Drinks,3.73,OUT046,1997,Supermarket Type1,743
DRE03,19.6,Low Fat,0.040550868,Dairy,0.71,OUT010,1998,Grocery Store,5
DRE03,19.6,Low Fat,0.024363939,Dairy,0.72,OUT017,2007,Supermarket Type1,67
DRE03,19.6,Low Fat,0.024325592,Dairy,0.75,OUT018,2009,Supermarket Type2,43
DRE03,19.6,Low Fat,0.024222321,Dairy,0.71,OUT035,2004,Supermarket Type1,95
DRE03,19.6,Low Fat,0.024276035,Dairy,0.7,OUT045,2002,Supermarket Type1,62
DRE03,19.6,Low Fat,0.024226902,Dairy,0.76,OUT046,1997,Supermarket Type1,24
DRE03,19.6,Low Fat,0.024264569,Dairy,0.72,OUT049,1999,Supermarket Type1,161
DRE12,4.59,Low Fat,0.070721656,Soft Drinks,1.75,OUT013,1987,Supermarket Type1,177
DRE12,,Low Fat,0.0704378,Soft Drinks,1.74,OUT027,1985,Supermarket Type3,352
DRE12,4.59,Low Fat,0.070767174,Soft Drinks,1.73,OUT035,2004,Supermarket Type1,96
DRE12,4.59,Low Fat,0,Soft Drinks,1.72,OUT045,2002,Supermarket Type1,125
DRE12,4.59,Low Fat,0.070780558,Soft Drinks,1.77,OUT046,1997,Supermarket Type1,150
DRE12,4.59,Low Fat,0.070890602,Soft Drinks,1.72,OUT049,1999,Supermarket Type1,190
DRE13,6.28,Low Fat,0.027682047,Soft Drinks,1.32,OUT013,1987,Supermarket Type1,190
DRE13,,low fat,0.027570939,Soft Drinks,1.34,OUT027,1985,Supermarket Type3,273
DRE13,6.28,Low Fat,0.027699863,Soft Drinks,1.36,OUT035,2004,Supermarket Type1,133
DRE13,6.28,Low Fat,0.027761289,Soft Drinks,1.33,OUT045,2002,Supermarket Type1,95
DRE13,6.28,Low Fat,0.027748176,Soft Drinks,1.34,OUT049,1999,Supermarket Type1,152
DRE15,13.35,Low Fat,0,Dairy,1.17,OUT017,2007,Supermarket Type1,145
DRE15,13.35,Low Fat,0.017857847,Dairy,1.2,OUT018,2009,Supermarket Type2,152
DRE15,,Low Fat,0.031139933,Dairy,1.16,OUT019,1985,Grocery Store,31
DRE15,,Low Fat,0.01769927,Dairy,1.15,OUT027,1985,Supermarket Type3,129
DRE15,13.35,Low Fat,0.017821466,Dairy,1.16,OUT045,2002,Supermarket Type1,137
DRE15,13.35,Low Fat,0,Dairy,1.2,OUT046,1997,Supermarket Type1,99
DRE25,15.35,LF,0.073697713,Soft Drinks,1.42,OUT017,2007,Supermarket Type1,68
DRE25,,Low Fat,0.072928316,Soft Drinks,1.46,OUT027,1985,Supermarket Type3,158
DRE25,15.35,Low Fat,0.073269336,Soft Drinks,1.42,OUT035,2004,Supermarket Type1,134
DRE25,15.35,Low Fat,0.073283193,Soft Drinks,1.42,OUT046,1997,Supermarket Type1,214
DRE25,15.35,Low Fat,0.073397129,Soft Drinks,1.42,OUT049,1999,Supermarket Type1,313
DRE27,11.85,Low Fat,0.222063351,Dairy,1.54,OUT010,1998,Grocery Store,20
DRE27,11.85,Low Fat,0.132560174,Dairy,1.5,OUT013,1987,Supermarket Type1,79
DRE27,11.85,Low Fat,0.132645493,Dairy,1.5,OUT035,2004,Supermarket Type1,118
DRE27,11.85,Low Fat,0.132939639,Dairy,1.52,OUT045,2002,Supermarket Type1,177
DRE27,11.85,Low Fat,0.13267058,Dairy,1.49,OUT046,1997,Supermarket Type1,98
DRE27,11.85,Low Fat,0.132876847,Dairy,1.52,OUT049,1999,Supermarket Type1,108
DRE37,13.5,LF,0.094603404,Soft Drinks,2.89,OUT018,2009,Supermarket Type2,402
DRE37,,Low Fat,0.164966345,Soft Drinks,2.92,OUT019,1985,Grocery Store,27
DRE37,13.5,Low Fat,0,Soft Drinks,2.92,OUT035,2004,Supermarket Type1,190
DRE37,13.5,Low Fat,0.094219593,Soft Drinks,2.93,OUT046,1997,Supermarket Type1,167
DRE37,13.5,Low Fat,0.094366079,Soft Drinks,2.95,OUT049,1999,Supermarket Type1,355
DRE48,8.43,Low Fat,0.017311312,Soft Drinks,3.05,OUT013,1987,Supermarket Type1,394
DRE48,8.43,Low Fat,0,Soft Drinks,3.01,OUT017,2007,Supermarket Type1,158
DRE48,8.43,Low Fat,0.017396308,Soft Drinks,3.02,OUT018,2009,Supermarket Type2,435
DRE48,,Low Fat,0.01724183,Soft Drinks,3.04,OUT027,1985,Supermarket Type3,933
DRE48,8.43,LF,0.017322454,Soft Drinks,3.04,OUT035,2004,Supermarket Type1,353
DRE48,8.43,Low Fat,0.017360867,Soft Drinks,3.03,OUT045,2002,Supermarket Type1,166
DRE48,8.43,Low Fat,0.01732573,Soft Drinks,3.05,OUT046,1997,Supermarket Type1,126
DRE49,20.75,Low Fat,0.035568147,Soft Drinks,2.34,OUT010,1998,Grocery Store,18
DRE49,20.75,Low Fat,0.021232318,Soft Drinks,2.33,OUT013,1987,Supermarket Type1,258
DRE49,20.75,Low Fat,0.021370201,Soft Drinks,2.36,OUT017,2007,Supermarket Type1,243
DRE49,20.75,Low Fat,0.021336565,Soft Drinks,2.37,OUT018,2009,Supermarket Type2,146
DRE49,,Low Fat,0,Soft Drinks,2.37,OUT027,1985,Supermarket Type3,775
DRE49,20.75,Low Fat,0,Soft Drinks,2.36,OUT035,2004,Supermarket Type1,243
DRE49,20.75,Low Fat,0.021293097,Soft Drinks,2.34,OUT045,2002,Supermarket Type1,292
DRE49,20.75,LF,0.021250002,Soft Drinks,2.32,OUT046,1997,Supermarket Type1,276
DRE49,20.75,Low Fat,0.02128304,Soft Drinks,2.37,OUT049,1999,Supermarket Type1,258
DRE60,9.395,Low Fat,0.159201868,Soft Drinks,3.49,OUT013,1987,Supermarket Type1,500
DRE60,9.395,Low Fat,0.160235723,Soft Drinks,3.51,OUT017,2007,Supermarket Type1,219
DRE60,,low fat,0.278974075,Soft Drinks,3.48,OUT019,1985,Grocery Store,104
DRE60,9.395,Low Fat,0.159304333,Soft Drinks,3.49,OUT035,2004,Supermarket Type1,530
DRE60,9.395,Low Fat,0.159657596,Soft Drinks,3.47,OUT045,2002,Supermarket Type1,1061
DRE60,9.395,Low Fat,0.159582185,Soft Drinks,3.47,OUT049,1999,Supermarket Type1,967
DRF01,5.655,Low Fat,0.174934513,Soft Drinks,2.24,OUT013,1987,Supermarket Type1,266
DRF01,5.655,LF,0.176070535,Soft Drinks,2.22,OUT017,2007,Supermarket Type1,246
DRF01,5.655,Low Fat,0.175793413,Soft Drinks,2.27,OUT018,2009,Supermarket Type2,246
DRF01,,Low Fat,0.306542848,Soft Drinks,2.27,OUT019,1985,Grocery Store,46
DRF01,,Low Fat,0.174232377,Soft Drinks,2.26,OUT027,1985,Supermarket Type3,267
DRF01,5.655,LF,0.175047104,Soft Drinks,2.27,OUT035,2004,Supermarket Type1,267
DRF01,5.655,Low Fat,0,Soft Drinks,2.28,OUT046,1997,Supermarket Type1,117
DRF01,5.655,Low Fat,0.175352413,Soft Drinks,2.28,OUT049,1999,Supermarket Type1,348
DRF03,19.1,Low Fat,0.075836522,Dairy,0.62,OUT010,1998,Grocery Store,9
DRF03,19.1,Low Fat,0.045270426,Dairy,0.6,OUT013,1987,Supermarket Type1,74
DRF03,19.1,Low Fat,0.045492697,Dairy,0.63,OUT018,2009,Supermarket Type2,53
DRF03,,Low Fat,0.045088724,Dairy,0.62,OUT027,1985,Supermarket Type3,110
DRF03,19.1,Low Fat,0.045299563,Dairy,0.6,OUT035,2004,Supermarket Type1,37
DRF03,19.1,Low Fat,0.045400017,Dairy,0.6,OUT045,2002,Supermarket Type1,69
DRF03,19.1,Low Fat,0.045308131,Dairy,0.66,OUT046,1997,Supermarket Type1,65
DRF03,19.1,Low Fat,0.045378573,Dairy,0.66,OUT049,1999,Supermarket Type1,25
DRF13,12.1,Low Fat,0,Soft Drinks,2.24,OUT013,1987,Supermarket Type1,334
DRF13,12.1,Low Fat,0.029949818,Soft Drinks,2.26,OUT017,2007,Supermarket Type1,411
DRF13,12.1,Low Fat,0.029902679,Soft Drinks,2.23,OUT018,2009,Supermarket Type2,127
DRF13,12.1,Low Fat,0.02984176,Soft Drinks,2.23,OUT045,2002,Supermarket Type1,395
DRF13,12.1,Low Fat,0.029781363,Soft Drinks,2.27,OUT046,1997,Supermarket Type1,175
DRF13,12.1,Low Fat,0.029827665,Soft Drinks,2.23,OUT049,1999,Supermarket Type1,285
DRF15,18.35,LF,0,Dairy,2.34,OUT013,1987,Supermarket Type1,31
DRF15,18.35,Low Fat,0.03334929,Dairy,2.39,OUT018,2009,Supermarket Type2,200
DRF15,,Low Fat,0.058153409,Dairy,2.35,OUT019,1985,Grocery Store,31
DRF15,18.35,Low Fat,0.03321399,Dairy,2.39,OUT046,1997,Supermarket Type1,123
DRF23,4.61,Low Fat,0.205294827,Hard Drinks,2.67,OUT010,1998,Grocery Store,24
DRF23,4.61,Low Fat,0.123346085,Hard Drinks,2.66,OUT017,2007,Supermarket Type1,435
DRF23,4.61,Low Fat,0.123151947,Hard Drinks,2.7,OUT018,2009,Supermarket Type2,249
DRF23,,Low Fat,0.122058364,Hard Drinks,2.67,OUT027,1985,Supermarket Type3,848
DRF23,4.61,Low Fat,0.122629121,Hard Drinks,2.71,OUT035,2004,Supermarket Type1,311
DRF23,4.61,Low Fat,0.122901056,Hard Drinks,2.69,OUT045,2002,Supermarket Type1,311
DRF23,4.61,Low Fat,0,Hard Drinks,2.68,OUT046,1997,Supermarket Type1,123
DRF23,4.61,Low Fat,0.122843005,Hard Drinks,2.66,OUT049,1999,Supermarket Type1,186
DRF25,9,Low Fat,0.038892859,Soft Drinks,0.56,OUT013,1987,Supermarket Type1,123
DRF25,,Low Fat,0.068153091,Soft Drinks,0.56,OUT019,1985,Grocery Store,10
DRF25,,Low Fat,0.038736754,Soft Drinks,0.58,OUT027,1985,Supermarket Type3,143
DRF25,9,Low Fat,0.038917891,Soft Drinks,0.56,OUT035,2004,Supermarket Type1,132
DRF25,9,Low Fat,0.039004193,Soft Drinks,0.58,OUT045,2002,Supermarket Type1,74
DRF25,9,Low Fat,0.038925251,Soft Drinks,0.54,OUT046,1997,Supermarket Type1,54
DRF25,9,Low Fat,0.03898577,Soft Drinks,0.54,OUT049,1999,Supermarket Type1,83
DRF27,8.93,Low Fat,0.028393624,Dairy,2.37,OUT013,1987,Supermarket Type1,138
DRF27,8.93,low fat,0.028578012,Dairy,2.35,OUT017,2007,Supermarket Type1,383
DRF27,8.93,Low Fat,0.028533032,Dairy,2.34,OUT018,2009,Supermarket Type2,123
DRF27,,Low Fat,0.049754975,Dairy,2.35,OUT019,1985,Grocery Store,16
DRF27,,Low Fat,0.02827966,Dairy,2.35,OUT027,1985,Supermarket Type3,108
DRF27,8.93,Low Fat,0.028411899,Dairy,2.35,OUT035,2004,Supermarket Type1,215
DRF27,8.93,Low Fat,0.028417272,Dairy,2.38,OUT046,1997,Supermarket Type1,261
DRF27,8.93,Low Fat,0.028461453,Dairy,2.35,OUT049,1999,Supermarket Type1,506
DRF36,16.1,Low Fat,0.039463564,Soft Drinks,2.93,OUT010,1998,Grocery Store,23
DRF36,16.1,Low Fat,0.023673342,Soft Drinks,2.92,OUT018,2009,Supermarket Type2,572
DRF36,,Low Fat,0.023463124,Soft Drinks,2.94,OUT027,1985,Supermarket Type3,1021
DRF36,16.1,LF,0.023625114,Soft Drinks,2.92,OUT045,2002,Supermarket Type1,390
DRF36,16.1,Low Fat,0.023577298,Soft Drinks,2.97,OUT046,1997,Supermarket Type1,308
DRF36,16.1,Low Fat,0.023613955,Soft Drinks,2.98,OUT049,1999,Supermarket Type1,572
DRF37,17.25,Low Fat,0.084262458,Soft Drinks,4.03,OUT013,1987,Supermarket Type1,419
DRF37,17.25,Low Fat,0.084809658,Soft Drinks,4.03,OUT017,2007,Supermarket Type1,388
DRF37,17.25,Low Fat,0.084676173,Soft Drinks,4.06,OUT018,2009,Supermarket Type2,484
DRF37,,Low Fat,0,Soft Drinks,4.03,OUT019,1985,Grocery Store,79
DRF37,17.25,low fat,0.084316691,Soft Drinks,4.06,OUT035,2004,Supermarket Type1,775
DRF37,17.25,Low Fat,0,Soft Drinks,4.06,OUT045,2002,Supermarket Type1,79
DRF48,5.73,Low Fat,0.05190652,Soft Drinks,2.9,OUT045,2002,Supermarket Type1,173
DRF49,7.27,Low Fat,0.07136748,Soft Drinks,1.73,OUT018,2009,Supermarket Type2,273
DRF49,,Low Fat,0.124448295,Soft Drinks,1.73,OUT019,1985,Grocery Store,16
DRF49,7.27,LF,0.071064499,Soft Drinks,1.77,OUT035,2004,Supermarket Type1,163
DRF49,7.27,Low Fat,0.071222087,Soft Drinks,1.75,OUT045,2002,Supermarket Type1,69
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,1.76,OUT046,1997,Supermarket Type1,313
DRF49,7.27,Low Fat,0.071188446,Soft Drinks,1.73,OUT049,1999,Supermarket Type1,137
DRF51,15.75,Low Fat,0.166513779,Dairy,0.59,OUT018,2009,Supermarket Type2,27
